"","customer_id","customer_age","customer_sex","customer_number_of_dependents","customer_education","customer_civil_status","customer_salary_range","customer_relationship_length","customer_available_credit_limit","credit_card_classification","total_products","period_inactive","contacts_in_last_year","credit_card_debt_balance","remaining_credit_limit","transaction_amount_ratio","total_transaction_amount","total_transaction_count","transaction_count_ratio","average_utilization","account_status","date1","class"
"1",755410,38,"F",2,"High School","Married","40-60K",31,"1593","Blue",4,2,4,NA,"502","0.87",4136,67,"0.718","0.685","open","2022-02-02",1
"2",568093,46,"F",2,"Graduate","Unknown","below 40K",40,"6568","Blue",5,2,2,0,"6568","0.101",1507,33,"0.222","0","closed","2022-02-02",1
"3",568093,46,"F",2,"Graduate","Unknown","below 40K",40,"6568","Blue",5,2,2,0,"6568","0.101",1507,33,"0.222","0","closed","2022-02-02",1
"4",595389,43,"M",1,NA,"Married","80-120K",30,"34516","Silver",1,1,3,2045,"32471","0.59",4081,54,"0.421","0.059","open","2022-02-02",0
"5",287252,46,"F",4,"High School","Married","below 40K",36,"2374","Blue",5,2,1,1332,"1042","0.686",4253,81,"0.884","0.561","open","2022-02-02",1
"6",231901,40,"M",4,"High School","Single","80-120K",29,"12978","Blue",3,3,2,0,"12978","0.628",14134,85,"0.7","0","open","2022-02-02",0
"7",418821,51,"M",4,"High School","Married","80-120K",42,"14438","Blue",6,1,2,2517,"11921","0.853",2090,47,"0.88","0.174","open",NA,0
"8",896187,45,"F",3,"Uneducated","Single","below 40K",39,"2551","Blue",5,4,1,2253,"298","0.688",NA,63,"0.909","0.883","open","2022-02-02",1
"9",258495,50,"F",1,"High School","Single","below 40K",36,"4517","Blue",1,1,3,2238,"2279","0.625",4686,81,"0.761","0.495","open","2022-02-02",1
"10",881720,45,"F",5,"Unknown","Married","Unknown",40,"14728","Blue",3,2,2,0,"14728","0.708",4660,85,"0.735","0","open","2022-02-02",1
"11",367251,40,"F",2,"Graduate","Unknown","below 40K",29,"2636","Blue",5,1,2,1953,"683","0.916",4584,70,"0.591","0.741","open","2022-02-02",1
"12",201870,NA,"F",2,"Graduate","Single","below 40K",27,"2265","Blue",5,3,3,0,"2265","0.603",3826,71,"0.543","0","open","2022-02-02",1
"13",376752,54,NA,2,"High School","Married","80-120K",50,"9519","Blue",4,2,3,1936,"7583","0.929",2489,62,"1","0.203","open","2022-02-02",NA
"14",156504,45,"F",4,"Unknown","Married","below 40K",36,"7924","Blue",5,1,1,1896,"6028","1.161",22890,58,"0.933","0.239","open","2022-02-02",1
"15",870683,48,"M",4,"Unknown","Married","80-120K",36,"22917","Blue",2,3,2,0,"22917","0.574",2045,45,"0.5","0","closed","2022-02-02",0
"16",160974,50,NA,2,"Unknown","Divorced","60-80K",41,"2966","Blue",6,1,3,1433,"1533","0.49",1986,50,"0.613","0.483","open","2022-02-02",NA
"17",893405,65,NA,0,"College","Divorced","Unknown",56,"13666","Blue",5,2,3,0,"13666","0.808",3998,70,"1","0","open","2022-02-02",NA
"18",847194,55,"F",3,"Uneducated","Divorced",NA,36,"2111","Blue",3,2,1,1209,"902","0.594",2803,61,"0.605","0.573","open","2022-02-02",1
"19",934600,52,"M",2,"Uneducated","Single","120K and more",36,"2507","Blue",3,2,1,1259,"1248","0.85",4461,73,"4.605","0.502","open","2022-02-02",0
"20",321574,43,"F",5,"Uneducated","Single","below 40K",36,"2057","Blue",4,3,2,1279,"778","0.562",4321,76,"0.689","0.622","open","2022-02-02",1
"21",376141,50,"F",2,"Graduate","Single","Unknown",36,"2611","Blue",6,2,4,1824,"787","0.711",4232,80,"0.633","0.699","open","2022-02-02",1
"22",777631,51,"F",2,"Graduate","Married","40-60K",45,"5930","Blue",3,2,4,0,"5930","1.19",2041,32,"0.684","0","open","2022-02-02",1
"23",154087,38,"M",3,"Post-Graduate","Married","60-80K",36,"2584","Blue",4,3,2,0,"2584","0.593",1843,28,"0.647","0","open","2022-02-02",0
"24",204001,31,"M",0,"Graduate","Divorced","below 40K",36,"3312","Blue",4,3,2,2491,"821","0.62",18690,50,"0.667","0.752","open","2022-02-02",0
"25",779861,58,"F",1,"Unknown","Single",NA,50,"8513","Blue",5,2,2,799,"7714","0.451",2119,37,"0.542","0.094","closed","2022-02-02",1
"26",709666,47,"F",3,"Uneducated","Single","40-60K",35,"4543","Blue",6,5,2,1028,"3515","0.799",4093,77,"0.571","0.226","open","2022-02-02",1
"27",969320,42,"M",1,"Graduate","Unknown","80-120K",36,"4765","Blue",2,1,2,1516,"3249","0.709",7380,76,"0.689","0.318","open","2022-02-02",0
"28",953566,42,"M",3,"Uneducated","Married","40-60K",37,"4960","Blue",2,3,3,1724,"3236","0.879",8218,88,"0.913","0.348","open","2022-02-02",0
"29",912719,54,"M",1,"Graduate","Married","40-60K",43,"2706","Blue",4,3,3,2517,"189","0.506",1682,39,"0.625","0.93","open","2022-02-02",0
"30",222888,55,"M",3,"Doctorate","Single","80-120K",35,"20865","Blue",4,1,3,0,"20865","0.881",837,25,"3.335","0","closed","2022-02-02",0
"31",881372,NA,"F",4,"Uneducated","Single",NA,21,"34516","Silver",3,1,2,907,"33609","0.572",2298,55,"0.719","0.026","open","2022-02-02",1
"32",450792,58,NA,2,"High School","Married","Unknown",50,"12362","Blue",3,2,3,0,"12362","0.635",4537,72,"0.636","0","open","2022-02-02",NA
"33",308388,43,"F",3,"High School","Divorced","below 40K",24,"1662","Blue",4,2,2,613,"1049","0.868",2326,31,"0.55","0.369","closed","2022-02-02",1
"34",562904,49,"M",3,"High School","Single","60-80K",40,"8190","Blue",3,4,2,1716,"6474","0.781",3529,84,"0.787","0.21","open","2022-02-02",0
"35",367849,57,NA,3,"Graduate","Married","120K and more",38,"8249","Blue",2,3,3,1381,"6868","0.798",678,11,"0.833","0.167","closed","2022-02-02",NA
"36",292527,45,"F",5,"Doctorate","Married","below 40K",34,"1438.3","Blue",4,2,2,491,"947.3","0.708",4376,84,"0.787","0.341","open","2022-02-02",1
"37",721886,50,"M",1,"Graduate","Married","60-80K",37,"20708","Blue",2,2,2,1357,"19351","0.852",8503,88,"0.571","0.066","open","2022-02-02",0
"38",681417,64,"F",0,"Graduate","Single","below 40K",54,"5577","Blue",3,1,2,689,"4888","0.985",4256,70,"1.121","0.124","open","2022-02-02",1
"39",418866,NA,"F",2,"Graduate","Married","below 40K",33,"2228","Blue",5,2,3,1717,"511","1.625",16338,61,"0.848","0.771","open","2022-02-02",1
